LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate,MatchType
4504437007,04/03/2020,988,PPP,"ASSOCIATED OPHTHALMOLGISTS, LTD","7245 E. Osborn Rd, Suite 4",SCOTTSDALE,AZ,85251-6443,05/06/2021,Paid in Full,24,100,1478900.0,1478900.0,0.0,,444981,West Valley National Bank,"2440 N Litchfield Rd, Ste 100",GOODYEAR,AZ,85395-1663,U,N,Y,Existing or more than 2 years old,SCOTTSDALE,MARICOPA,AZ,85251-6443,AZ-01,115.0,621320.0,White,Not Hispanic or Latino,,1301000.0,,,,177900.0,,Limited Liability Partnership,444981,West Valley National Bank,GOODYEAR,AZ,Male Owned,Non-Veteran,,1493319.27,04/02/2021,Ophthalm
2318988502,02/20/2021,988,PPS,ASSOICIATED OPHTHALMOLOGISTS LTD.,7245 E Osborn Rd Ste 4,Scottsdale,AZ,85251-6443,03/04/2021,Paid in Full,60,100,1475000.0,1475000.0,0.0,,444981,West Valley National Bank,"2440 N Litchfield Rd, Ste 100",GOODYEAR,AZ,85395-1663,U,N,Y,Existing or more than 2 years old,Scottsdale,MARICOPA,AZ,85251-6443,AZ-01,120.0,621111.0,Unanswered,Unknown/NotStated,1.0,1474996.0,,,,,,Limited Liability Partnership,444981,West Valley National Bank,GOODYEAR,AZ,Male Owned,Non-Veteran,,1485611.81,11/10/2021,Ophthalm
3783248710,03/31/2021,988,PPS,RETINA ASSOCIATES SOUTHWEST PC,6561 E Carondelet Dr,Tucson,AZ,85710-2156,04/09/2022,Paid in Full,60,100,645585.0,645585.0,0.0,,87893,Glacier Bank,202 Main St,KALISPELL,MT,59901-4454,U,N,N,Existing or more than 2 years old,Tucson,PIMA,AZ,85710-2156,AZ-06,132.0,621111.0,Unanswered,Unknown/NotStated,,645585.0,,,,,,Corporation,87893,Glacier Bank,KALISPELL,MT,Unanswered,Unanswered,,651917.04,03/30/2022,Retina
8656897002,04/08/2020,988,PPP,"RETINA ASSOCIATES, SOUTHWEST, P.C.",6561 E Carondelet Dr,TUCSON,AZ,85710-2156,12/14/2021,Paid in Full,24,100,564100.0,564100.0,0.0,,87893,Glacier Bank,202 Main St,KALISPELL,MT,59901-4454,U,N,N,Existing or more than 2 years old,TUCSON,PIMA,AZ,85710-2156,AZ-06,77.0,621320.0,Unanswered,Unknown/NotStated,,564100.0,,,,,,Corporation,87893,Glacier Bank,KALISPELL,MT,Unanswered,Unanswered,,572862.87,11/04/2021,Retina
9461148502,03/12/2021,988,PPS,CLEAR VISION OPHTHALMOLOGY P.C.,8410 W Thomas Rd Ste 146,Phoenix,AZ,85037-3374,08/16/2022,Paid in Full,60,100,479302.0,479302.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,N,Existing or more than 2 years old,Phoenix,MARICOPA,AZ,85037-3374,AZ-03,23.0,621320.0,Unanswered,Unknown/NotStated,1.0,479299.0,,,,,,Corporation,48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Unanswered,Unanswered,,485538.78,07/08/2022,Ophthalm
1964377707,05/01/2020,988,PPP,"CLEAR VISION OPHTHALMOLOGY, P.C.",8410 W THOMAS RD STE 146,PHOENIX,AZ,85037,09/30/2021,Paid in Full,24,100,437500.0,437500.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,Y,Existing or more than 2 years old,PHOENIX,MARICOPA,AZ,85037-0100,AZ-03,250.0,621111.0,Unanswered,Unknown/NotStated,20000.0,347500.0,,52500.0,,15000.0,2500.0,Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,443204.76,08/24/2021,Ophthalm
5477707003,04/05/2020,988,PPP,"OPHTHALMIC SURGEONS & PHYSICIAN, LTD.",3200 S. COUNTRY CLUB WAY,TEMPE,AZ,85282-4054,03/19/2021,Paid in Full,24,100,385541.0,385541.0,0.0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,Y,Existing or more than 2 years old,TEMPE,MARICOPA,AZ,85282-4054,AZ-04,36.0,621320.0,Unanswered,Unknown/NotStated,48192.0,289156.0,48193.0,,,,,Corporation,760,First Source Federal Credit Union,Rome,NY,Unanswered,Unanswered,,388925.19,02/17/2021,Ophthalm
7635618405,02/12/2021,988,PPS,EAST VALLEY OPHTHALMOLOGY LTD.,5620 E Broadway Rd,Mesa,AZ,85206-1438,11/19/2021,Paid in Full,60,100,337937.0,337937.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,Y,Existing or more than 2 years old,Mesa,MARICOPA,AZ,85206-1438,AZ-04,29.0,621111.0,Unanswered,Unknown/NotStated,,337937.0,,,,,,Subchapter S Corporation,48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Male Owned,Non-Veteran,,340062.06,10/06/2021,Ophthalm
9746847007,04/09/2020,988,PPP,"ARIZONE RETINA & VITREOUS CONSULTANTS, LLC",1728 W. GLENDALE AVE Suite 408,PHOENIX,AZ,85021-8860,12/16/2020,Paid in Full,24,100,263100.0,263100.0,0.0,,22586,Bank of Springfield,2600 Stevenson Dr,SPRINGFIELD,IL,62703-4328,U,N,N,Existing or more than 2 years old,PHOENIX,MARICOPA,AZ,85021-8860,AZ-01,27.0,621320.0,Asian,Not Hispanic or Latino,,263100.0,,,,,,Limited  Liability Company(LLC),22586,Bank of Springfield,SPRINGFIELD,IL,Female Owned,Non-Veteran,,264548.85,11/05/2020,Retina
9425297203,04/28/2020,988,PPP,"EAST VALLEY OPHTHALMOLOGY, LTD. DBA EAST VALLEY OPHTHALMOLOG",5620 E BROADWAY RD,MESA,AZ,85206,06/24/2021,Paid in Full,24,100,247815.0,247815.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,Y,Existing or more than 2 years old,MESA,MARICOPA,AZ,85206-0100,AZ-04,20.0,621111.0,Unanswered,Unknown/NotStated,0.0,231112.0,0.0,0.0,0.0,16703.0,0.0,Subchapter S Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Male Owned,Non-Veteran,,250365.02,05/13/2021,Ophthalm
1295427308,04/28/2020,988,PPP,"PHOENIX OPHTHALMOLOGISTS, PA",1130 E MISSOURI AVE,PHOENIX,AZ,85014-2712,12/24/2020,Paid in Full,24,100,217000.0,217000.0,0.0,,52771,Bell Bank,"520, Main Ave",Fargo,ND,58103,U,Y,N,Existing or more than 2 years old,PHOENIX,MARICOPA,AZ,85014-2712,AZ-01,18.0,621111.0,Unanswered,Unknown/NotStated,,217000.0,,,,,,Corporation,52771,Bell Bank,Fargo,ND,Unanswered,Unanswered,,218277.89,12/03/2020,Ophthalm
1974927307,04/29/2020,988,PPP,RETINA SPECIALISTS OF SOUTHERN ARIZONA,4753 E Camp Lowell dr,TUCSON,AZ,85712-1256,07/24/2021,Paid in Full,24,100,203914.0,203914.0,0.0,,21037,The Northern Trust Company,50 S LaSalle St,CHICAGO,IL,60603-1008,U,N,N,Existing or more than 2 years old,TUCSON,PIMA,AZ,85712-1256,AZ-06,19.0,621111.0,Unanswered,Unknown/NotStated,,203914.0,,,,,,Limited  Liability Company(LLC),21037,The Northern Trust Company,CHICAGO,IL,Unanswered,Unanswered,,206338.31,07/15/2021,Retina
6269988601,03/23/2021,912,PPP,THE AMERICAN ACADEMY OF OPHTHALMOLOGY,655 Beach St,San Francisco,CA,94109-1342,02/16/2022,Paid in Full,60,100,4150730.0,4150730.0,0.0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94109-1342,CA-11,172.0,813910.0,Unanswered,Unknown/NotStated,1.0,4150727.0,,,,,,Corporation,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,4178818.5,12/10/2021,Ophthalm
6120797707,05/01/2020,914,PPP,RETINA VITREOUS ASSOCIATES MEDICAL GROUP,1245 Wilshire Blvd Ste 380,Los Angeles,CA,90017,06/18/2021,Paid in Full,24,100,1035530.0,1035530.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,Y,Y,New Business or 2 years or less,Los Angeles,LOS ANGELES,CA,90017-0001,CA-34,109.0,621111.0,Unanswered,Unknown/NotStated,,1035530.0,,,,,,Limited Liability Partnership,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,1045769.69,04/29/2021,Retina
5115937702,05/01/2020,912,PPP,BAY AREA RETINA ASSOCIATES MEDICAL GROUP,365 LENNON LN STE 250,WALNUT CREEK,CA,94598-5915,10/16/2021,Paid in Full,24,100,769219.0,965391.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,WALNUT CREEK,CONTRA COSTA,CA,94598-5915,CA-10,54.0,,White,Not Hispanic or Latino,,965391.0,,,,,,Partnership,9551,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,767629.39,08/12/2021,Retina
5474027103,04/13/2020,912,PPP,WEST COAST RETINA MEDICAL GROUP,1445 Bush St,San Francisco,CA,94109-5520,06/23/2021,Paid in Full,24,100,802000.0,802000.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94109-5520,CA-11,47.0,621111.0,Unanswered,Unknown/NotStated,,802000.0,,,,,,Corporation,474333,"JPMorgan Chase Bank, National Association",San Francisco,CA,Unanswered,Non-Veteran,,810767.07,05/27/2021,Retina
4686767709,05/01/2020,912,PPP,OPTIMA OPHTHALMIC MEDICAL ASSOCIATES,1237 B STREET,HAYWARD,CA,94541,07/13/2021,Paid in Full,24,100,643710.0,643710.0,0.0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,Y,Y,Existing or more than 2 years old,HAYWARD,ALAMEDA,CA,94541-1002,CA-14,48.0,621111.0,Unanswered,Unknown/NotStated,,643710.0,,,,,,Corporation,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,650852.54,06/16/2021,Ophthalm
7718367107,04/14/2020,912,PPP,"EAST BAY RETINA CONSULTANTS, A MEDICAL GROUP, INC.",3300 Telegraph Ave.,OAKLAND,CA,94609,01/30/2021,Paid in Full,24,100,638481.0,638481.0,0.0,,21442,BMO Bank National Association,320 S Canal St,Chicago,IL,60606,U,Y,Y,Unanswered,OAKLAND,ALAMEDA,CA,94609-0001,CA-12,45.0,621320.0,Unanswered,Unknown/NotStated,,638481.0,,,,,,Corporation,14315,BMO Bank National Association,San Francisco,CA,Unanswered,Unanswered,,642968.1,12/31/2020,Retina
6802188302,01/27/2021,914,PPS,OPHTHALMOLOGY ASSOCIATES OF THE VALLEY MEDICAL GROUP,16311 Ventura Blvd Ste 750,Encino,CA,91436-4325,07/08/2021,Paid in Full,60,100,619000.0,619000.0,0.0,,14795,Banc of California,"11611 San Vicente Blvd, Ste 500",Los Angeles,CA,90049,U,N,N,Existing or more than 2 years old,Encino,LOS ANGELES,CA,91436-4325,CA-32,60.0,621111.0,Unanswered,Unknown/NotStated,,618999.0,,,,,,Partnership,14795,Banc of California,Los Angeles,CA,Unanswered,Unanswered,,621306.41,06/15/2021,Ophthalm
9190938609,03/25/2021,912,PPS,BAY AREA RETINA ASSOCIATES MEDICAL GROUP,365 Lennon Ln Ste 250,Walnut Creek,CA,94598-5915,12/16/2021,Paid in Full,60,100,610477.0,610477.0,0.0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,Walnut Creek,CONTRA COSTA,CA,94598-5915,CA-10,65.0,621111.0,White,Not Hispanic or Latino,1.0,610472.0,,,,,,Partnership,9551,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,614173.31,11/03/2021,Retina
7997237105,04/14/2020,931,PPP,"MEDICAL VISION TECHNOLOGY, OPHTHALMOLOGY GROUP, INC.",1700 ALHAMBRA BLVD,SACRAMENTO,CA,95816-7050,01/13/2021,Paid in Full,24,100,600000.0,600000.0,0.0,,14799,Exchange Bank,545 Fourth St,SANTA ROSA,CA,95401-6323,U,N,N,Existing or more than 2 years old,SACRAMENTO,SACRAMENTO,CA,95816-7050,CA-07,42.0,621320.0,Unanswered,Not Hispanic or Latino,,600000.0,,,,,,Corporation,14799,Exchange Bank,SANTA ROSA,CA,Male Owned,Unanswered,,603879.45,12/22/2020,Ophthalm
4603188409,02/06/2021,912,PPS,OPTIMA OPHTHALMIC MEDICAL ASSOCIATES,1237 B St,Hayward,CA,94541-2915,01/12/2022,Paid in Full,60,100,595142.0,595142.0,0.0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,Y,Y,Existing or more than 2 years old,Hayward,ALAMEDA,CA,94541-2915,CA-14,45.0,621111.0,Unanswered,Unknown/NotStated,1.0,595137.0,,,,,,Corporation,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,600082.49,12/09/2021,Ophthalm
3335997309,04/29/2020,920,PPP,RETINA CONSULTANTS OF ORANGE COUNTY,301 W. Bastanchury Rd. Suite 285,Fullerton,CA,92835,03/18/2022,Paid in Full,24,100,589943.0,589943.0,0.0,,121536,Customers Bank,40 General Warren Blvd,Malvern,PA,19355,U,N,N,Existing or more than 2 years old,Fullerton,ORANGE,CA,92835-1000,CA-45,46.0,621111.0,Unanswered,Unknown/NotStated,,589943.0,,,,,,Corporation,121536,Customers Bank,Malvern,PA,Unanswered,Unanswered,,600125.58,01/31/2022,Retina
7969237304,04/30/2020,912,PPP,"RETINAL DIAGNOSTIC CENTER, A MEDICAL CORPORATION","3395 South Bascom Avenue, Suite 140",Campbell,CA,95008,04/21/2021,Paid in Full,24,100,570482.5,570482.5,0.0,,113190,American Express National Bank,115 West Towne Ridge Parkway,Sandy,UT,84070,U,N,N,Existing or more than 2 years old,Campbell,SANTA CLARA,CA,95008-0100,CA-16,48.0,621111.0,Asian,Not Hispanic or Latino,111701.1,279252.75,0.0,111701.1,,55850.55,11977.0,Corporation,113190,American Express National Bank,Sandy,UT,Male Owned,Unanswered,,557863.35,03/01/2021,Retina
9172678305,01/30/2021,931,PPS,MEDICAL VISION TECHNOLOGY OPHTHALMOLOGY GROUP INC,1700 Alhambra Blvd Ste 202,Sacramento,CA,95816-7050,01/12/2022,Paid in Full,59,100,533482.5,533482.5,0.0,,14799,Exchange Bank,545 Fourth St,SANTA ROSA,CA,95401-6323,U,N,N,Existing or more than 2 years old,Sacramento,SACRAMENTO,CA,95816-7050,CA-07,46.0,621111.0,Unanswered,Not Hispanic or Latino,1.0,533480.5,,,,,,Corporation,14799,Exchange Bank,SANTA ROSA,CA,Male Owned,Unanswered,,537969.6,12/08/2021,Ophthalm
1101107407,05/03/2020,912,PPP,RETINA VITREOUS ASSOCIATES INC,2485 Hospital Dr Ste 200,Mountain View,CA,94040-4123,09/30/2021,Paid in Full,24,100,500000.0,500000.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,Mountain View,SANTA CLARA,CA,94040-4123,CA-16,37.0,621111.0,Unanswered,Unknown/NotStated,,500000.0,,,,,,Corporation,474333,"JPMorgan Chase Bank, National Association",San Francisco,CA,Unanswered,Non-Veteran,,506219.18,08/04/2021,Retina
1867887302,04/28/2020,920,PPP,ORANGE COUNTY RETINA MEDICAL GROUP,1200 N TUSTIN AVE STE 140,SANTA ANA,CA,92705-3501,04/10/2021,Paid in Full,24,100,481000.0,446000.0,0.0,,5095,Citizens Business Bank,701 N Haven Ave,ONTARIO,CA,91764-4925,U,N,Y,Existing or more than 2 years old,SANTA ANA,ORANGE,CA,92705-3501,CA-46,42.0,621111.0,Unanswered,Unknown/NotStated,,446000.0,,,,,,Partnership,5095,Citizens Business Bank,ONTARIO,CA,Unanswered,Unanswered,,448510.24,02/12/2021,Retina
5495317008,04/05/2020,914,PPP,THE RETINA PARTNERS,"16500 Ventura Blvd, Suite 250",ENCINO,CA,91436-2002,07/22/2021,Paid in Full,24,100,404000.0,404000.0,0.0,,4924,City National Bank,555 S Flower St,LOS ANGELES,CA,90071-2300,U,N,N,Existing or more than 2 years old,ENCINO,LOS ANGELES,CA,91436-2002,CA-32,36.0,622310.0,Unanswered,Unknown/NotStated,,308340.0,,80768.0,,14892.0,,Partnership,4924,City National Bank,LOS ANGELES,CA,Unanswered,Unanswered,,408693.04,06/15/2021,Retina
